date,risk_multiplier,price_cycle_z,vol_z,wave_3y,wave_3y_phase,wave_7y,wave_7y_phase,vol_wave_10y,vol_wave_10y_phase
1973-06-01,1.0,,,,,,,,
1973-06-02,1.0,,,,,,,,
1973-06-03,1.0,,,,,,,,
1973-06-04,1.0,,,,,,,,
1973-06-05,1.0,,,,,,,,
1973-06-06,1.0,,,,,,,,
1973-06-07,1.0,,,,,,,,
1973-06-08,1.0,,,,,,,,
1973-06-09,1.0,,,,,,,,
1973-06-10,1.0,,,,,,,,
1973-06-11,1.0,,,,,,,,
1973-06-12,1.0,,,,,,,,
1973-06-13,1.0,,,,,,,,
1973-06-14,1.0,,,,,,,,
1973-06-15,1.0,,,,,,,,
1973-06-16,1.0,,,,,,,,
1973-06-17,1.0,,,,,,,,
1973-06-18,1.0,,,,,,,,
1973-06-19,1.0,,,,,,,,
1973-06-20,1.0,,,,,,,,
1973-06-21,1.0,,,,,,,,
1973-06-22,1.0,,,,,,,,
1973-06-23,1.0,,,,,,,,
1973-06-24,1.0,,,,,,,,
1973-06-25,1.0,,,,,,,,
1973-06-26,1.0,,,,,,,,
1973-06-27,1.0,,,,,,,,
1973-06-28,1.0,,,,,,,,
1973-06-29,1.0,,,,,,,,
1973-06-30,1.0,,,,,,,,
1973-07-01,1.0,,,,,,,,
1973-07-02,1.0,,,,,,,,
1973-07-03,1.0,,,,,,,,
1973-07-04,1.0,,,,,,,,
1973-07-05,1.0,,,,,,,,
1973-07-06,1.0,,,,,,,,
1973-07-07,1.0,,,,,,,,
1973-07-08,1.0,,,,,,,,
1973-07-09,1.0,,,,,,,,
1973-07-10,1.0,,,,,,,,
1973-07-11,1.0,,,,,,,,
1973-07-12,1.0,,,,,,,,
1973-07-13,1.0,,,,,,,,
1973-07-14,1.0,,,,,,,,
1973-07-15,1.0,,,,,,,,
1973-07-16,1.0,,,,,,,,
1973-07-17,1.0,,,,,,,,
1973-07-18,1.0,,,,,,,,
1973-07-19,1.0,,,,,,,,
1973-07-20,1.0,,,,,,,,
1973-07-21,1.0,,,,,,,,
1973-07-22,1.0,,,,,,,,
1973-07-23,1.0,,,,,,,,
1973-07-24,1.0,,,,,,,,
1973-07-25,1.0,,,,,,,,
1973-07-26,1.0,,,,,,,,
1973-07-27,1.0,,,,,,,,
1973-07-28,1.0,,,,,,,,
1973-07-29,1.0,,,,,,,,
1973-07-30,1.0,,,,,,,,
1973-07-31,1.0,,,,,,,,
1973-08-01,1.0,,,,,,,,
1973-08-02,1.0,,,,,,,,
1973-08-03,1.0,,,,,,,,
1973-08-04,1.0,,,,,,,,
1973-08-05,1.0,,,,,,,,
1973-08-06,1.0,,,,,,,,
1973-08-07,1.0,,,,,,,,
1973-08-08,1.0,,,,,,,,
1973-08-09,1.0,,,,,,,,
1973-08-10,1.0,,,,,,,,
1973-08-11,1.0,,,,,,,,
1973-08-12,1.0,,,,,,,,
1973-08-13,1.0,,,,,,,,
1973-08-14,1.0,,,,,,,,
1973-08-15,1.0,,,,,,,,
1973-08-16,1.0,,,,,,,,
1973-08-17,1.0,,,,,,,,
1973-08-18,1.0,,,,,,,,
1973-08-19,1.0,,,,,,,,
1973-08-20,1.0,,,,,,,,
1973-08-21,1.0,,,,,,,,
1973-08-22,1.0,,,,,,,,
1973-08-23,1.0,,,,,,,,
1973-08-24,1.0,,,,,,,,
1973-08-25,1.0,,,,,,,,
1973-08-26,1.0,,,,,,,,
1973-08-27,1.0,,,,,,,,
1973-08-28,1.0,,,,,,,,
1973-08-29,1.0,,,,,,,,
1973-08-30,1.0,,,,,,,,
1973-08-31,1.0,,,,,,,,
1973-09-01,1.0,,,,,,,,
1973-09-02,1.0,,,,,,,,
1973-09-03,1.0,,,,,,,,
1973-09-04,1.0,,,,,,,,
1973-09-05,1.0,,,,,,,,
1973-09-06,1.0,,,,,,,,
1973-09-07,1.0,,,,,,,,
1973-09-08,1.0,,,,,,,,
1973-09-09,1.0,,,,,,,,
1973-09-10,1.0,,,,,,,,
1973-09-11,1.0,,,,,,,,
1973-09-12,1.0,,,,,,,,
1973-09-13,1.0,,,,,,,,
1973-09-14,1.0,,,,,,,,
1973-09-15,1.0,,,,,,,,
1973-09-16,1.0,,,,,,,,
1973-09-17,1.0,,,,,,,,
1973-09-18,1.0,,,,,,,,
1973-09-19,1.0,,,,,,,,
1973-09-20,1.0,,,,,,,,
1973-09-21,1.0,,,,,,,,
1973-09-22,1.0,,,,,,,,
1973-09-23,1.0,,,,,,,,
1973-09-24,1.0,,,,,,,,
1973-09-25,1.0,,,,,,,,
1973-09-26,1.0,,,,,,,,
1973-09-27,1.0,,,,,,,,
1973-09-28,1.0,,,,,,,,
1973-09-29,1.0,,,,,,,,
1973-09-30,1.0,,,,,,,,
1973-10-01,1.0,,,,,,,,
1973-10-02,1.0,,,,,,,,
1973-10-03,1.0,,,,,,,,
1973-10-04,1.0,,,,,,,,
1973-10-05,1.0,,,,,,,,
1973-10-06,1.0,,,,,,,,
1973-10-07,1.0,,,,,,,,
1973-10-08,1.0,,,,,,,,
1973-10-09,1.0,,,,,,,,
1973-10-10,1.0,,,,,,,,
1973-10-11,1.0,,,,,,,,
1973-10-12,1.0,,,,,,,,
1973-10-13,1.0,,,,,,,,
1973-10-14,1.0,,,,,,,,
1973-10-15,1.0,,,,,,,,
1973-10-16,1.0,,,,,,,,
1973-10-17,1.0,,,,,,,,
1973-10-18,1.0,,,,,,,,
1973-10-19,1.0,,,,,,,,
1973-10-20,1.0,,,,,,,,
1973-10-21,1.0,,,,,,,,
1973-10-22,1.0,,,,,,,,
1973-10-23,1.0,,,,,,,,
1973-10-24,1.0,,,,,,,,
1973-10-25,1.0,,,,,,,,
1973-10-26,1.0,,,,,,,,
1973-10-27,1.0,,,,,,,,
1973-10-28,1.0,,,,,,,,
1973-10-29,1.0,,,,,,,,
1973-10-30,1.0,,,,,,,,
1973-10-31,1.0,,,,,,,,
1973-11-01,1.0,,,,,,,,
1973-11-02,1.0,,,,,,,,
1973-11-03,1.0,,,,,,,,
1973-11-04,1.0,,,,,,,,
1973-11-05,1.0,,,,,,,,
1973-11-06,1.0,,,,,,,,
1973-11-07,1.0,,,,,,,,
1973-11-08,1.0,,,,,,,,
1973-11-09,1.0,,,,,,,,
1973-11-10,1.0,,,,,,,,
1973-11-11,1.0,,,,,,,,
1973-11-12,1.0,,,,,,,,
1973-11-13,1.0,,,,,,,,
1973-11-14,1.0,,,,,,,,
1973-11-15,1.0,,,,,,,,
1973-11-16,1.0,,,,,,,,
1973-11-17,1.0,,,,,,,,
1973-11-18,1.0,,,,,,,,
1973-11-19,1.0,,,,,,,,
1973-11-20,1.0,,,,,,,,
1973-11-21,1.0,,,,,,,,
1973-11-22,1.0,,,,,,,,
1973-11-23,1.0,,,,,,,,
1973-11-24,1.0,,,,,,,,
1973-11-25,1.0,,,,,,,,
1973-11-26,1.0,,,,,,,,
1973-11-27,1.0,,,,,,,,
1973-11-28,1.0,,,,,,,,
1973-11-29,1.0,,,,,,,,
1973-11-30,1.0,,,,,,,,
1973-12-01,1.0,,,,,,,,
1973-12-02,1.0,,,,,,,,
1973-12-03,1.0,,,,,,,,
1973-12-04,1.0,,,,,,,,
1973-12-05,1.0,,,,,,,,
1973-12-06,1.0,,,,,,,,
1973-12-07,1.0,,,,,,,,
1973-12-08,1.0,,,,,,,,
1973-12-09,1.0,,,,,,,,
1973-12-10,1.0,,,,,,,,
1973-12-11,1.0,,,,,,,,
1973-12-12,1.0,,,,,,,,
1973-12-13,1.0,,,,,,,,
1973-12-14,1.0,,,,,,,,
1973-12-15,1.0,,,,,,,,
1973-12-16,1.0,,,,,,,,
1973-12-17,1.0,,,,,,,,
