month_end,as_of_month_end,fear_peak_month_end,euphoria_trough_month_end,fear_window_36m,fear_window_24m,euphoria_window_36m,euphoria_window_24m,label
2025-02-28,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-03-31,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-04-30,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-05-31,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-06-30,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-07-31,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-08-31,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-09-30,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-10-31,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-11-30,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2025-12-31,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2026-01-31,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2026-02-28,2026-02-28,2031-02-28,2026-02-28,0,0,1,1,EUPH
2026-03-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-04-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-05-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-06-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-07-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-08-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-09-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-10-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-11-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2026-12-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-01-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-02-28,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-03-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-04-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-05-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-06-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-07-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-08-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-09-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-10-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-11-30,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2027-12-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2028-01-31,2026-02-28,2031-02-28,2026-02-28,0,0,0,0,NONE
2028-02-29,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-03-31,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-04-30,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-05-31,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-06-30,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-07-31,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-08-31,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-09-30,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-10-31,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-11-30,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2028-12-31,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2029-01-31,2026-02-28,2031-02-28,2026-02-28,1,0,0,0,FEAR
2029-02-28,2026-02-28,2031-02-28,2026-02-28,1,1,0,0,FEAR
