time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1973-06-01,102.3,,,,,-0.03,77
1973-06-04,100.77,,,,,-0.03,77
1973-06-05,101.71,,,,,-0.03,77
1973-06-06,101.7,,,,,-0.03,77
1973-06-07,102.57,,,,,-0.03,77
1973-06-08,103.72,,,,,-0.03,77
1973-06-11,103.04,,,,,-0.03,77
1973-06-12,104.79,,,,,-0.03,77
1973-06-13,104.33,,,,,-0.03,77
1973-06-14,103.56,,,,,-0.03,77
1973-06-15,102.26,,,,,-0.03,77
1973-06-18,100.77,,,,,-0.03,77
1973-06-19,100.96,,,,,-0.03,77
1973-06-20,101.19,,,,,-0.03,77
1973-06-21,100.4,,,,,-0.03,77
1973-06-22,100.99,,,,,-0.03,77
1973-06-25,99.43,,,,,-0.03,77
1973-06-26,99.96,,,,,-0.03,77
1973-06-27,100.22,,,,,-0.03,77
1973-06-28,101.16,,,,,-0.03,77
1973-06-29,100.98,,,,,-0.03,77
1973-07-02,100.15,,,,,-0.07,77
1973-07-03,99.45,,,,,-0.07,77
1973-07-05,99.39,,,,,-0.07,77
1973-07-06,99.48,,,,,-0.07,77
1973-07-09,100.01,,,,,-0.07,77
1973-07-10,101.18,,,,,-0.07,77
1973-07-11,102.69,,,,,-0.07,77
1973-07-12,103.17,,,,,-0.07,77
1973-07-13,103.03,,,,,-0.07,77
1973-07-16,103.97,,,,,-0.07,77
1973-07-17,104.64,,,,,-0.07,77
1973-07-18,105.77,,,,,-0.07,77
1973-07-19,106.52,,,,,-0.07,77
1973-07-20,107.68,,,,,-0.07,77
1973-07-23,107.75,,,,,-0.07,77
1973-07-24,108.29,,,,,-0.07,77
1973-07-25,109.19,,,,,-0.07,77
1973-07-26,109.17,,,,,-0.07,77
1973-07-27,109.36,,,,,-0.07,77
1973-07-30,108.88,,,,,-0.07,77
1973-07-31,108.64,,,,,-0.07,77
1973-08-01,108.64,,,,,-0.1,77
1973-08-02,106.98,,,,,-0.1,77
1973-08-03,106.82,,,,,-0.1,77
1973-08-06,107.21,,,,,-0.1,77
1973-08-07,107.3,,,,,-0.1,77
1973-08-08,106.13,,,,,-0.1,77
1973-08-09,106.15,,,,,-0.1,77
1973-08-10,105.32,,,,,-0.1,77
1973-08-13,104.35,,,,,-0.1,77
1973-08-14,103.59,,,,,-0.1,77
1973-08-15,103.35,,,,,-0.1,77
1973-08-16,103.31,,,,,-0.1,77
1973-08-17,103.71,,,,,-0.1,77
1973-08-20,102.67,,,,,-0.1,77
1973-08-21,102.12,,,,,-0.1,77
1973-08-22,101.34,,,,,-0.1,77
