time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1973-06-01,100.98,,,,,-0.03,77
1973-07-02,108.64,,,,,-0.07,77
1973-08-01,104.87,,,,,-0.1,77
1973-09-03,111.2,,,,,-0.07,72
1973-10-01,110.17,,,,,-0.07,72
1973-11-01,93.51,,,,,-0.03,76.5
1973-12-03,92.19,,,,,0.03,76.5
1974-01-01,94.93,,,,,0.03,76.5
1974-02-01,94.35,,,,,0.23,76.5
1974-03-01,92.27,,,,,0.4,61.8
1974-04-01,86.86,,,,,0.5,61.8
1974-05-01,80.2,,,,,0.43,61.8
1974-06-03,75.96,,,,,0.43,72.1
1974-07-01,69.99,,,,,0.47,72.1
1974-08-01,62.37,,,,,0.57,72.1
1974-09-02,55.67,,,,,0.63,64.4
1974-10-01,65.23,,,,,1.07,64.4
1974-11-01,62.95,,,,,1.07,64.4
1974-12-02,59.82,,,,,1.83,59.5
1975-01-01,69.78,,,,,2.37,59.5
1975-02-03,73,,,,,2.37,59.5
1975-03-03,75.66,,,,,2.77,57.6
1975-04-01,78.54,,,,,3.27,57.6
1975-05-01,83.1,,,,,3.5,57.6
1975-06-02,87.02,,,,,3.83,72.8
1975-07-01,83.19,,,,,3.77,72.8
1975-08-01,79.01,,,,,3.5,72.8
1975-09-01,74.33,,,,,3.17,75.7
1975-10-01,76.99,,,,,2.7,75.7
1975-11-03,78.8,,,,,2.7,75.7
1975-12-01,77.62,,,,,1.8,75.6
1976-01-01,87.05,,,,,1.8,75.6
1976-02-02,90.26,,,,,0.93,75.6
1976-03-01,90.62,,,,,-0.27,84.6
1976-04-01,90.08,,,,,-0.27,84.6
1976-05-03,88.04,,,,,-0.1,84.6
1976-06-01,90.32,0.84,,,,-0.1,83.3
1976-07-01,91.29,1.1,,,,0,83.3
1976-08-02,89.7,1.14,,,,0.1,83.3
1976-09-01,91.26,1.2,,,,0.3,89.7
1976-10-01,90.35,1.42,,,,0.4,89.7
1976-11-01,91.12,1.59,,,,0.5,87
1976-12-01,97.88,1.47,,,,0.47,87
1977-01-03,95.54,1.22,,,,0.27,87
1977-02-01,94.57,1.37,,,,0.1,87.1
1977-03-01,94.13,1.41,,,,-0.07,87.1
1977-04-01,95.48,1.37,,,,-0.07,87.1
1977-05-02,95.59,1.18,,,,-0.1,87.1
1977-06-01,99.73,1.14,,,,-0.2,90.2
1977-07-01,100.65,0.93,,,,-0.07,90.2
1977-08-01,100.1,0.71,,,,-0.03,90.2
1977-09-01,100.85,0.6,,,,0.07,89
1977-10-03,97.52,0.39,,,,0.03,89
1977-11-01,103.15,0.44,,,,-0.03,84.4
1977-12-01,105.05,0.56,,,,-0.03,84.4
1978-01-02,100.84,0.47,,,,-0.17,83.7
1978-02-01,101.47,0.47,,,,-0.2,84.3
1978-03-01,106.2,0.45,,,,-0.07,78.8
1978-04-03,115.18,0.27,,,,-0.07,78.8
1978-05-01,120.24,0.32,,,,-0.1,81.6
1978-06-01,120.3,0.15,,,,0,82.9
1978-07-03,126.32,0.1,,,,-0.17,80
1978-08-01,135.01,-0.06,,,,0.07,82.4
1978-09-01,132.89,-0.18,,,,0,78.4
1978-10-02,111.12,-0.53,,,,-0.03,79.3
1978-11-01,114.69,-0.69,,,,-0.03,75
1978-12-01,117.98,-0.83,,,,-0.03,75
1979-01-01,125.82,-0.69,,,,0,72.1
