time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1973-05-28,102.3,,,,,-0.03,77
1973-06-04,103.72,,,,,-0.03,77
1973-06-11,102.26,,,,,-0.03,77
1973-06-18,100.99,,,,,-0.03,77
1973-06-25,100.98,,,,,-0.03,77
1973-07-02,99.48,,,,,-0.07,77
1973-07-09,103.03,,,,,-0.07,77
1973-07-16,107.68,,,,,-0.07,77
1973-07-23,109.36,,,,,-0.07,77
1973-07-30,106.82,,,,,-0.1,77
1973-08-06,105.32,,,,,-0.1,77
1973-08-13,103.71,,,,,-0.1,77
1973-08-20,102.4,,,,,-0.1,77
1973-08-27,104.87,,,,,-0.1,77
1973-09-03,107.02,,,,,-0.07,72
1973-09-10,106.07,,,,,-0.07,72
1973-09-17,109.46,,,,,-0.07,72
1973-09-24,111.2,,,,,-0.07,72
1973-10-01,112.56,,,,,0,72
1973-10-08,114.1,,,,,0,72
1973-10-15,113.25,,,,,0,72
1973-10-22,112.79,,,,,0,72
1973-10-29,108.93,,,,,-0.07,72
1973-11-05,105.77,,,,,-0.07,72
1973-11-12,101.38,,,,,-0.07,72
1973-11-19,97.3,,,,,-0.07,72
1973-11-26,93.51,,,,,-0.03,76.5
1973-12-03,92.32,,,,,-0.03,76.5
1973-12-10,89.63,,,,,-0.03,76.5
1973-12-17,89.52,,,,,-0.03,76.5
1973-12-24,91.68,,,,,-0.03,76.5
1973-12-31,94.1,,,,,0.03,76.5
1974-01-07,92.23,,,,,0.03,76.5
1974-01-14,95.32,,,,,0.03,76.5
1974-01-21,95.4,,,,,0.03,76.5
1974-01-28,94.15,,,,,0.23,76.5
1974-02-04,92.2,,,,,0.23,76.5
1974-02-11,90.98,,,,,0.23,76.5
1974-02-18,92.93,,,,,0.23,76.5
1974-02-25,94.05,,,,,0.4,61.8
1974-03-04,95.17,,,,,0.4,61.8
1974-03-11,96.53,,,,,0.4,61.8
1974-03-18,95.45,,,,,0.4,61.8
1974-03-25,92.27,,,,,0.4,61.8
1974-04-01,90.7,,,,,0.5,61.8
1974-04-08,89.79,,,,,0.5,61.8
1974-04-15,90.31,,,,,0.5,61.8
1974-04-22,86.24,,,,,0.5,61.8
1974-04-29,87.47,,,,,0.43,61.8
1974-05-06,84.3,,,,,0.43,61.8
1974-05-13,81.93,,,,,0.43,61.8
1974-05-20,81.45,,,,,0.43,61.8
1974-05-27,80.2,,,,,0.43,61.8
1974-06-03,83.71,,,,,0.43,72.1
1974-06-10,82.76,,,,,0.43,72.1
1974-06-17,79.11,,,,,0.43,72.1
1974-06-24,75.96,,,,,0.43,72.1
1974-07-01,73.57,,,,,0.47,72.1
1974-07-08,71.68,,,,,0.47,72.1
1974-07-15,73.4,,,,,0.47,72.1
1974-07-22,72.83,,,,,0.47,72.1
1974-07-29,69.4,,,,,0.57,72.1
1974-08-05,70.69,,,,,0.57,72.1
1974-08-12,65.86,,,,,0.57,72.1
1974-08-19,62.57,,,,,0.57,72.1
1974-08-26,62.37,,,,,0.57,72.1
1974-09-02,60.7,,,,,0.63,64.4
1974-09-09,56.66,,,,,0.63,64.4
1974-09-16,59.9,,,,,0.63,64.4
1974-09-23,57.12,,,,,0.63,64.4
1974-09-30,55.16,,,,,0.83,64.4
1974-10-07,60.42,,,,,0.83,64.4
1974-10-14,62.75,,,,,0.83,64.4
1974-10-21,62.88,,,,,0.83,64.4
1974-10-28,65.06,,,,,1.07,64.4
1974-11-04,66.51,,,,,1.07,64.4
1974-11-11,64.41,,,,,1.07,64.4
1974-11-18,62.07,,,,,1.07,64.4
1974-11-25,62.95,,,,,1.07,64.4
1974-12-02,58.21,,,,,1.43,59.5
1974-12-09,59.22,,,,,1.43,59.5
1974-12-16,58.67,,,,,1.43,59.5
1974-12-23,58.74,,,,,1.43,59.5
1974-12-30,61.23,,,,,1.83,59.5
1975-01-06,63.69,,,,,1.83,59.5
1975-01-13,64.4,,,,,1.83,59.5
1975-01-20,65.38,,,,,1.83,59.5
1975-01-27,69.78,,,,,2.37,59.5
1975-02-03,71.12,,,,,2.37,59.5
1975-02-10,73.26,,,,,2.37,59.5
1975-02-17,73.79,,,,,2.37,59.5
1975-02-24,73,,,,,2.37,59.5
1975-03-03,74.4,,,,,2.77,57.6
1975-03-10,76.07,,,,,2.77,57.6
1975-03-17,75.92,,,,,2.77,57.6
1975-03-24,76.18,,,,,2.77,57.6
1975-03-31,74.73,,,,,3.27,57.6
1975-04-07,76.31,,,,,3.27,57.6
1975-04-14,78.08,,,,,3.27,57.6
1975-04-21,78.64,,,,,3.27,57.6
1975-04-28,80.25,,,,,3.5,57.6
1975-05-05,82.82,,,,,3.5,57.6
1975-05-12,82.44,,,,,3.5,57.6
1975-05-19,82.62,,,,,3.5,57.6
1975-05-26,83.1,,,,,3.5,57.6
1975-06-02,84.77,,,,,3.83,72.8
1975-06-09,83.43,,,,,3.83,72.8
1975-06-16,85.24,,,,,3.83,72.8
