time,close,KD,J,RSI,COPPER · Capital.com: close,URANIUM · FXCM: close,US10Y · TVC: close,US02Y · TVC: close,ALUMINUM · Capital.com: close,REMX · NYSE Arca: close,XAUUSD · FXCM: close,BTCUSD · INDEX: close,USDKRW · FXCM: close
1973-06-01,102.3,,,,,,6.94,,,,101.96,,
1973-06-04,100.77,,,,,,,,,,,,
1973-06-05,101.71,,,,,,,,,,,,
1973-06-06,101.7,,,,,,,,,,,,
1973-06-07,102.57,,,,,,,,,,,,
1973-06-08,103.72,,,,,,,,,,,,
1973-06-11,103.04,,,,,,,,,,,,
1973-06-12,104.79,,,,,,,,,,,,
1973-06-13,104.33,,,,,,,,,,,,
1973-06-14,103.56,,,,,,,,,,,,
1973-06-15,102.26,,,,,,,,,,,,
1973-06-18,100.77,,,,,,,,,,,,
1973-06-19,100.96,34.74523284,-0.671668626,,,,,,,,,,
1973-06-20,101.19,28.55875244,-4.615899288,,,,,,,,,,
1973-06-21,100.4,21.47514853,-12.82118712,14.375,,,,,,,,,
1973-06-22,100.99,18.92733818,-4.59035551,20.11662859,,,,,,,,,
1973-06-25,99.43,14.19864762,-9.381925649,8.952912672,,,,,,,,,
1973-06-26,99.96,13.37114202,-0.487908585,14.20150349,,,,,,,,,
1973-06-27,100.22,16.29517475,16.67573126,16.79471089,,,,,,,,,
1973-06-28,101.16,34.52591596,80.29304724,25.87363197,,,,,,,,,
1973-06-29,100.98,47.44124462,102.6131319,24.3138202,,,,,,,120.12,,
1973-07-02,100.15,47.21569685,74.23777106,17.26369419,,,7.43,,,,,,
1973-07-03,99.45,37.58071461,27.00429613,11.71575166,,,,,,,,,
1973-07-05,99.39,28.99441318,2.240450345,11.23899061,,,,,,,,,
1973-07-06,99.48,23.08662124,-5.059840003,12.34783564,,,,,,,,,
1973-07-09,100.01,25.11483929,16.11215379,18.92489485,,,,,,,,,
1973-07-10,101.18,41.55592644,78.15730155,31.9551069,,,,,,,,,
1973-07-11,102.69,55.35686223,108.1598893,45.69991095,,,,,,,,,
1973-07-12,103.17,66.45096012,120.5877183,49.56031625,,,,,,,,,
1973-07-13,103.03,74.28629612,120.9430152,47.86495964,,,,,,,,,
1973-07-16,103.97,81.03726852,121.2430591,55.50324478,,,,,,,,,
1973-07-17,104.64,86.14467086,119.016072,60.46678275,,,,,,,,,
1973-07-18,105.77,89.95410847,115.9134031,67.97303025,,,,,,,,,
1973-07-19,106.52,92.76340202,112.7662832,72.416252,,,,,,,,,
1973-07-20,107.68,94.81604338,109.9490874,78.55452265,,,,,,,,,
1973-07-23,107.75,96.3043236,107.5915462,78.90845469,,,,,,,,,
1973-07-24,108.29,97.37641219,105.7002449,81.67070806,,,,,,,,,
1973-07-25,109.19,98.14440577,104.2263061,85.94570818,,,,,,,,,
1973-07-26,109.17,98.60677077,102.8036334,85.61628594,,,,,,,,,
1973-07-27,109.36,99.00964088,102.1152475,86.55519944,,,,,,,,,
1973-07-30,108.88,96.32751782,91.17501348,78.03520574,,,,,,,,,
1973-07-31,108.64,91.39532206,76.48858048,73.82068856,,,,,,,120.17,,
1973-08-01,108.64,83.45240226,56.14173199,73.82068856,,,7.25,,,,,,
1973-08-02,106.98,64.3005202,2.765479901,47.08204711,,,,,,,,,
1973-08-03,106.82,48.64407037,-21.26457435,44.86536383,,,,,,,,,
1973-08-06,107.21,39.69282501,-17.63961076,48.8961001,,,,,,,,,
1973-08-07,107.3,33.79761817,-9.606616824,49.83929665,,,,,,,,,
1973-08-08,106.13,25.3224978,-17.56742062,33.05983762,,,,,,,,,
1973-08-09,106.15,18.90378293,-18.58796346,33.30906358,,,,,,,,,
1973-08-10,105.32,13.86979236,-17.46105726,22.66212871,,,,,,,,,
1973-08-13,104.35,10.09137517,-15.02009259,12.02312828,,,,,,,,,
1973-08-14,103.59,7.290814741,-12.26632022,4.778716902,,,,,,,,,
1973-08-15,103.35,5.236030688,-9.679496926,2.598124429,,,,,,,,,
1973-08-16,103.31,3.741012144,-7.454298024,2.220127576,,,,,,,,,
1973-08-17,103.71,4.888683143,2.160205556,9.004603618,,,,,,,,,
1973-08-20,102.67,3.741676276,-0.490079685,-1.220565406,,,,,,,,,
1973-08-21,102.12,2.816153638,-1.613530938,-5.942319239,,,,,,,,,
1973-08-22,101.34,2.091904283,-1.933561391,-12.02128785,,,,,,,,,
1973-08-23,102.53,10.32311159,28.88839701,7.135479403,,,,,,,,,
1973-08-24,102.4,18.38070167,47.80731957,5.930536907,,,,,,,,,
1973-08-27,102.91,29.6710763,72.61032185,13.61179928,,,,,,,,,
1973-08-28,102.99,39.50287662,85.55200018,14.81645414,,,,,,,,,
1973-08-29,103.79,53.96999567,113.1623551,26.36781184,,,,,,,,,
1973-08-30,103.99,65.51427129,123.97114,29.0923407,,,,,,,,,
1973-08-31,104.87,74.47680808,126.1115844,40.27047843,,,,,,,106.76,,
1973-09-04,105.5,81.29606798,124.1616059,47.33090692,,,6.9,,,,,,
1973-09-05,106.03,86.40506483,120.6103259,52.83204683,,,,,,,,,
1973-09-06,106.36,90.18627845,116.741943,56.12822592,,,,,,,,,
1973-09-07,107.02,92.95723134,113.1624459,62.35186404,,,,,,,,,
1973-09-10,106.25,90.72536253,95.24829777,49.68320925,,,,,,,,,
1973-09-11,105.77,84.28697155,70.45246172,42.4568187,,,,,,,,,
1973-09-12,105.33,75.07674931,45.13393879,36.13086472,,,,,,,,,
1973-09-13,105.6,65.27285109,25.79170028,39.49526236,,,,,,,,,
1973-09-14,106.07,59.62085466,25.75028819,45.19339995,,,,,,,,,
1973-09-17,106.27,57.97938588,36.94043068,47.57163686,,,,,,,,,
1973-09-18,106.3,57.38231217,45.37015029,47.9433562,,,,,,,,,
1973-09-19,107.91,66.58597253,83.58904251,64.90833014,,,,,,,,,
1973-09-20,108.76,74.38915797,102.3986565,71.75494982,,,,,,,,,
1973-09-21,109.46,80.7028895,110.4919676,76.72476211,,,,,,,,,
1973-09-24,109.69,85.65311579,112.9232206,78.28612036,,,,,,,,,
1973-09-25,109.8,89.44731461,112.5678641,79.05512193,,,,,,,,,
1973-09-26,110.62,92.3061458,111.0134985,84.48824493,,,,,,,,,
1973-09-27,111.27,94.43161012,109.0989473,88.28590449,,,,,,,,,
1973-09-28,111.2,95.68198188,106.1415798,86.7687794,,,,,,,102.97,,
1973-10-01,110.97,94.88984999,98.13931924,81.62635035,,,6.71,,,,,,
1973-10-02,111.76,96.09764931,100.7418822,86.86073262,,,,,,,,,
1973-10-03,112.13,97.06804352,101.8161455,89.09332811,,,,,,,,,
1973-10-04,111.51,92.17847255,82.32859612,75.50431836,,,,,,,,,
1973-10-05,112.56,93.69770362,92.57084307,82.84952778,,,,,,,,,
1973-10-08,113.17,95.07317258,97.94841471,86.51637687,,,,,,,,,
1973-10-09,113.07,95.22181638,97.03104694,84.39655463,,,,,,,,,
1973-10-10,112.17,86.22282998,64.62997928,66.48067955,,,,,,,,,
1973-10-11,113.56,88.80458219,84.46253737,76.75664844,,,,,,,,,
1973-10-12,114.1,91.19596293,95.00339236,80.13188002,,,,,,,,,
1973-10-15,113.13,84.91441683,71.11426631,63.73215079,,,,,,,,,
1973-10-16,113.14,79.7232904,59.84539905,63.81242078,,,,,,,,,
1973-10-17,112.66,67.20718407,25.97797256,55.92750866,,,,,,,,,
1973-10-18,112.82,58.84021768,17.30819596,57.46187888,,,,,,,,,
1973-10-19,113.25,57.2769131,32.60264077,61.56473528,,,,,,,,,
1973-10-22,112.29,45.3820856,3.307880687,45.81503101,,,,,,,,,
1973-10-23,111.81,34.36219535,-14.2246327,38.8017161,,,,,,,,,
1973-10-24,112.13,28.75173335,-9.567835701,42.60147415,,,,,,,,,
1973-10-25,112.31,29.22696267,11.25525147,44.75304361,,,,,,,,,
1973-10-26,112.79,37.45616751,49.043324,50.38185544,,,,,,,,,
1973-10-29,112.09,33.71105475,30.1418511,39.07116098,,,,,,,,,
1973-10-30,110.63,26.14039361,5.429138944,20.06393801,,,,,,,,,
1973-10-31,110.17,19.87116715,-6.15752634,15.03587646,,,,,,,100.08,,
